label,N,P,K,temperature,humidity,ph,rainfall
rice,95.83,53.86,50.24,23.88,90.72,6.22,234.84
rice,87.03,40.53,37.12,24.98,76.11,6.39,204.28
rice,101.71,46.01,54.74,24.46,74.14,5.97,174.84
rice,84.82,52.09,46.46,21.6,76.93,6.02,173.5
rice,83.29,42.5,50.09,24.22,70.54,6.15,212.16
rice,94.14,52.93,27.56,21.82,84.95,5.21,254.28
rice,93.68,46.77,38.0,24.63,87.34,6.12,217.03
rice,92.7,33.09,40.97,22.69,83.92,6.5,178.24
rice,88.75,51.85,36.79,21.36,83.01,6.42,210.34
rice,103.29,46.85,47.89,24.11,93.64,5.9,149.89
rice,106.04,36.34,42.76,25.62,73.99,5.37,161.96
rice,82.06,43.52,45.67,23.55,74.94,4.84,211.63
rice,85.28,43.68,46.91,23.28,85.8,6.11,225.9
rice,82.95,38.56,43.38,24.64,80.03,6.26,202.02
rice,88.82,46.64,28.05,20.41,74.59,4.83,189.65
rice,97.49,37.72,43.38,25.18,88.64,5.97,250.61
rice,90.92,33.3,37.84,20.04,77.56,5.82,234.11
rice,107.21,28.94,44.75,20.92,84.37,5.93,155.07
rice,99.28,35.16,38.26,20.86,78.73,6.21,204.32
rice,93.29,42.9,51.24,22.31,74.62,6.53,200.06
rice,101.15,43.07,41.08,23.7,91.76,7.04,212.08
rice,91.6,48.61,36.08,23.67,81.87,6.16,185.0
rice,74.1,23.42,34.18,22.08,80.53,6.97,243.18
rice,80.38,42.78,39.15,22.43,82.93,6.31,199.82
rice,100.64,30.86,42.04,28.2,83.12,6.72,212.75
rice,95.81,39.55,40.81,21.44,84.15,5.57,229.97
rice,100.85,42.93,40.0,23.91,80.46,6.47,155.06
rice,86.64,24.07,31.53,25.73,86.48,5.64,164.92
rice,60.35,35.65,58.94,23.87,79.2,6.23,163.17
rice,87.03,40.8,41.4,24.58,83.72,6.33,189.35
rice,98.98,53.03,35.21,21.22,88.68,5.9,252.11
rice,85.57,51.64,42.92,23.52,89.82,5.82,181.77
rice,85.51,43.62,31.04,24.27,79.31,6.57,138.17
rice,82.13,26.51,36.22,23.5,81.1,5.87,205.22
rice,92.03,31.93,46.95,24.33,83.93,6.28,218.89
rice,110.35,39.3,39.85,21.49,76.84,5.38,183.34
rice,89.29,42.67,42.36,21.47,86.5,6.37,205.21
rice,83.47,44.39,43.32,20.1,81.66,6.13,183.01
rice,91.9,28.36,51.35,25.5,80.74,6.18,137.7
rice,78.44,37.65,34.5,24.43,91.99,5.41,184.88
rice,92.35,52.89,33.44,23.5,91.11,5.17,171.57
rice,85.76,35.84,47.69,23.48,73.13,6.26,192.67
rice,102.74,34.98,37.54,24.08,85.81,6.22,159.43
rice,95.38,31.73,43.65,20.15,84.23,5.6,171.52
rice,97.14,41.93,37.7,25.9,79.8,6.02,218.07
rice,83.8,43.77,38.27,22.18,88.81,5.48,137.62
rice,106.11,60.39,39.16,19.13,80.45,5.86,204.3
rice,78.87,44.64,45.67,20.01,85.5,7.03,215.16
rice,86.63,38.86,46.31,19.54,82.82,5.8,265.43
rice,88.26,53.34,34.27,24.17,83.6,5.57,215.32
rice,102.13,37.41,30.16,22.96,77.49,5.83,207.55
rice,72.94,27.07,45.37,21.95,69.18,6.39,218.17
rice,82.86,29.47,47.85,23.7,93.91,6.21,221.63
rice,88.33,46.53,46.38,25.5,79.39,5.78,195.63
rice,97.91,51.99,38.79,22.15,83.57,5.88,238.56
rice,67.48,33.39,36.52,18.36,77.18,5.54,203.97
maize,91.36,46.04,17.88,23.89,71.3,5.71,71.34
maize,84.7,46.23,24.59,23.97,69.21,5.68,84.82
maize,75.47,38.27,15.75,25.37,62.89,5.69,83.56
maize,91.54,29.75,16.01,22.15,73.77,6.34,96.51
maize,64.32,39.04,23.79,24.12,68.29,6.11,89.17
maize,79.9,54.22,25.23,20.76,51.52,6.7,102.82
maize,65.75,33.12,22.4,25.86,75.79,6.46,79.42
maize,67.28,48.09,20.8,21.97,77.29,7.09,102.04
maize,66.95,54.84,24.56,24.89,72.5,6.52,96.1
maize,85.64,50.73,14.87,24.17,61.66,5.56,110.23
maize,98.75,58.87,23.02,26.7,65.07,6.3,68.6
maize,82.76,48.48,16.79,23.9,64.52,7.1,98.41
maize,78.14,49.99,22.18,23.59,58.51,6.12,73.81
maize,63.0,52.09,23.57,20.43,64.26,6.7,100.89
maize,90.31,48.31,18.62,21.83,67.07,6.39,104.31
maize,91.2,46.94,17.02,23.36,66.3,6.1,76.33
maize,81.03,43.97,19.49,24.62,62.59,6.32,89.1
maize,64.33,44.15,27.75,21.68,52.3,5.27,85.44
maize,78.37,47.06,26.86,18.65,67.38,6.98,68.08
maize,73.44,41.98,18.42,23.35,73.56,7.12,79.96
maize,100.86,48.28,29.01,23.81,65.79,6.38,132.68
maize,88.22,42.34,25.88,23.28,62.06,6.65,85.47
maize,81.34,48.11,23.35,24.85,53.38,6.53,70.27
maize,60.69,47.53,22.34,22.61,69.99,5.53,78.9
maize,70.98,47.63,23.12,21.98,69.35,6.23,56.62
maize,54.5,47.9,21.12,23.79,64.83,6.31,99.21
maize,64.67,38.62,17.63,24.58,72.47,5.98,47.47
maize,57.55,41.34,19.77,23.18,65.23,6.04,100.74
maize,69.89,41.1,23.92,20.93,67.34,6.25,82.79
maize,97.06,43.02,30.24,23.55,57.34,6.23,68.86
maize,68.98,51.18,24.22,22.76,70.92,6.78,106.54
maize,84.35,58.91,14.48,23.36,59.8,6.26,76.43
maize,76.01,63.06,21.32,24.83,63.61,6.24,85.09
maize,83.38,57.32,28.59,24.62,68.54,5.62,83.68
maize,89.28,54.93,22.85,25.77,67.94,6.8,89.34
maize,73.73,50.69,10.28,24.77,43.11,5.34,91.78
maize,83.73,38.7,19.15,26.74,62.1,7.32,84.97
maize,82.9,60.93,22.52,22.0,64.34,6.18,64.53
maize,74.93,42.06,25.7,24.07,63.3,6.15,88.35
maize,85.4,40.0,17.83,26.21,62.53,5.49,91.66
maize,83.56,35.75,22.92,25.47,67.25,6.52,63.94
maize,81.97,45.58,20.07,25.74,73.88,7.1,104.72
maize,76.68,50.82,25.07,24.24,65.78,6.61,84.11
maize,69.25,44.68,24.54,24.01,67.04,6.54,79.38
maize,87.07,51.03,17.06,26.88,62.0,5.37,69.32
maize,65.75,48.42,20.9,23.33,68.72,6.37,89.74
maize,82.92,52.93,13.57,23.27,51.92,6.22,84.93
maize,90.55,57.5,22.81,23.0,67.91,5.94,84.98
maize,89.83,43.54,25.22,25.35,59.27,6.69,95.48
maize,79.22,41.9,18.56,22.92,68.26,5.72,91.56
maize,63.1,46.37,22.44,28.89,56.74,6.94,87.25
maize,82.93,48.95,23.78,23.69,73.72,5.97,101.98
maize,70.27,47.52,17.71,24.91,73.67,6.16,82.05
maize,64.62,46.17,15.63,22.17,66.36,6.86,127.14
maize,70.96,59.48,22.98,23.7,67.6,6.23,86.66
maize,73.1,36.82,15.83,25.31,63.34,5.9,85.13
maize,87.54,49.44,19.38,26.45,74.48,6.45,99.6
maize,92.9,57.04,24.46,25.2,68.12,5.65,95.51
maize,61.73,41.64,27.21,25.68,73.92,6.06,67.72
maize,75.11,48.82,22.32,26.27,62.83,6.38,70.17
maize,83.4,48.02,19.0,23.53,63.89,6.06,111.57
maize,76.82,46.05,13.61,22.21,63.42,5.86,105.73
maize,76.02,58.31,22.25,24.07,64.47,6.2,110.78
maize,50.16,31.99,19.83,24.03,69.14,6.44,79.24
maize,90.23,56.24,22.74,25.93,66.64,5.92,95.47
maize,79.33,48.01,27.89,19.1,56.49,5.61,79.55
maize,74.94,35.94,18.06,22.28,79.74,7.1,78.82
maize,73.64,38.81,14.37,23.77,59.01,6.16,61.0
maize,68.86,49.19,23.46,24.83,57.08,6.63,73.0
maize,85.59,47.91,16.49,23.37,67.19,6.51,82.89
maize,96.38,56.06,20.97,25.5,76.6,7.18,66.58
maize,66.88,59.88,17.77,21.35,62.08,6.41,83.46
maize,70.19,42.61,19.15,22.24,78.69,6.35,98.3
maize,72.13,46.51,19.15,18.7,56.73,5.29,51.25
maize,63.66,58.6,21.82,26.58,67.47,6.59,71.49
maize,84.29,53.83,19.69,25.12,68.4,5.93,68.16
maize,63.79,48.69,23.31,22.41,65.16,6.49,94.27
maize,96.62,58.22,17.99,27.37,61.81,6.72,86.02
maize,73.05,33.54,21.31,20.88,70.8,6.96,73.05
maize,81.62,42.2,19.49,25.55,64.77,7.07,77.77
maize,89.99,48.78,25.18,23.11,64.7,6.14,72.46
maize,85.94,53.2,24.37,27.07,73.7,6.01,90.6
maize,70.52,48.19,19.6,27.24,67.18,6.09,102.9
maize,51.95,31.89,25.18,24.12,66.5,5.54,84.65
maize,102.04,54.59,22.68,23.12,62.63,5.14,88.86
maize,88.15,35.4,19.35,21.69,59.21,6.23,53.73
maize,85.37,54.03,21.0,19.04,59.02,6.82,43.33
maize,73.83,38.56,25.22,22.65,67.42,6.48,112.54
maize,75.56,51.01,16.06,26.38,60.44,5.92,84.67
maize,59.25,49.83,25.87,24.59,55.47,6.14,96.13
maize,55.46,39.4,25.51,24.54,67.47,7.13,92.03
maize,85.89,69.69,21.14,22.4,67.57,6.42,77.1
maize,65.61,66.48,23.31,22.54,70.5,6.15,81.21
maize,84.75,37.66,23.41,27.83,67.8,6.01,77.39
maize,73.08,45.97,20.49,25.83,54.6,6.63,79.3
maize,82.52,38.98,27.31,26.49,70.76,5.44,97.44
maize,82.86,35.16,21.9,24.73,68.34,6.29,89.37
maize,95.68,57.81,10.53,23.37,64.01,5.32,86.41
maize,92.99,39.31,23.35,22.17,60.97,6.94,76.86
maize,83.55,33.03,29.45,25.21,63.91,6.49,63.85
chickpea,49.46,64.76,78.37,19.02,42.1,7.28,83.07
chickpea,45.21,67.91,84.11,19.16,56.15,6.37,95.13
chickpea,50.94,59.48,97.83,21.99,49.86,7.01,77.39
chickpea,38.32,71.91,91.21,20.36,40.44,7.33,91.05
chickpea,45.24,75.45,77.83,18.14,40.66,6.35,82.84
chickpea,39.33,63.6,56.36,17.51,50.6,6.73,84.33
chickpea,28.87,82.39,78.85,20.58,56.63,7.61,76.32
chickpea,35.25,64.74,84.08,19.79,43.02,7.59,78.63
chickpea,58.4,68.91,94.28,20.71,49.81,6.71,69.75
chickpea,43.68,77.89,80.32,17.43,38.2,6.43,58.79
chickpea,40.88,79.25,79.89,15.48,44.05,6.93,105.15
chickpea,28.34,64.09,93.65,20.9,47.82,7.05,83.96
chickpea,46.22,59.91,87.02,17.25,46.64,7.07,72.6
chickpea,39.82,61.77,71.43,19.29,39.48,7.13,66.2
chickpea,45.7,56.19,75.47,18.75,51.63,7.13,77.46
chickpea,43.99,46.93,79.65,24.0,45.66,7.03,86.58
chickpea,47.16,48.03,66.54,20.42,41.43,7.52,76.22
chickpea,24.52,55.32,58.0,19.53,44.06,6.83,92.95
chickpea,49.59,66.3,62.92,21.23,47.78,7.12,91.78
chickpea,30.68,88.09,72.32,21.5,36.56,6.63,98.2
chickpea,37.91,76.4,81.9,19.79,51.82,6.91,58.63
chickpea,33.57,73.51,83.16,16.87,41.38,6.77,75.61
chickpea,28.99,61.72,74.17,21.54,49.05,6.94,75.3
chickpea,41.12,59.83,70.83,18.12,41.83,6.53,81.94
chickpea,45.84,52.13,80.2,19.56,46.71,6.99,62.56
chickpea,29.9,68.29,88.23,15.57,46.73,7.48,78.16
chickpea,44.4,60.97,79.05,16.76,33.28,7.38,68.18
chickpea,36.36,54.14,68.72,19.65,41.35,7.15,85.43
chickpea,42.57,70.39,92.62,17.86,44.73,7.45,95.17
chickpea,28.63,64.88,90.86,21.02,45.98,6.91,75.39
chickpea,42.31,65.48,79.66,20.16,41.61,7.21,114.97
chickpea,25.78,71.24,73.92,21.15,45.23,7.3,94.11
chickpea,41.54,79.32,61.25,23.18,46.88,7.43,65.36
chickpea,33.35,69.46,79.86,20.57,50.42,6.29,91.69
chickpea,40.07,65.96,68.23,21.01,32.93,7.26,62.09
chickpea,40.43,66.81,89.36,19.64,41.53,6.8,95.27
chickpea,44.29,64.14,78.11,16.87,46.94,6.3,89.02
chickpea,41.03,91.87,71.2,19.79,53.99,7.48,71.65
chickpea,41.79,68.02,82.26,18.6,44.55,6.36,81.62
chickpea,43.6,65.73,67.08,21.98,46.82,6.71,76.63
chickpea,27.99,57.75,75.7,22.46,41.8,7.26,73.54
chickpea,41.98,66.59,86.98,18.93,37.14,6.45,73.62
chickpea,30.01,72.1,76.27,24.75,36.31,7.08,66.46
chickpea,36.05,69.41,61.4,20.47,54.51,6.82,83.12
chickpea,48.2,66.36,75.35,15.45,48.2,6.95,67.85
chickpea,41.01,62.16,75.77,21.21,38.31,7.42,63.23
chickpea,34.7,87.23,89.02,20.2,40.3,6.79,80.88
chickpea,40.3,67.09,79.75,19.57,37.79,6.79,90.98
chickpea,29.05,66.1,73.44,20.22,43.06,7.59,86.08
chickpea,29.51,74.71,73.8,18.85,46.57,6.8,90.71
chickpea,33.8,61.81,74.75,18.87,50.5,7.25,100.52
chickpea,58.14,57.69,80.56,17.65,41.11,6.75,67.31
chickpea,31.58,66.56,70.27,21.68,40.41,8.12,74.58
chickpea,40.58,55.05,93.65,22.24,46.48,6.46,82.53
chickpea,31.03,82.62,86.47,20.19,32.82,6.61,88.25
chickpea,49.7,79.09,67.26,20.6,50.08,6.34,79.91
chickpea,42.19,64.99,65.18,19.35,43.36,6.94,73.24
chickpea,36.46,67.6,83.54,19.39,42.95,7.04,56.95
chickpea,43.82,67.99,80.32,21.92,35.24,6.21,83.29
chickpea,39.94,69.7,76.3,21.33,49.66,7.19,76.87
chickpea,23.14,75.69,89.77,21.29,40.6,7.27,90.33
chickpea,52.47,59.24,78.19,21.49,45.29,6.55,84.98
chickpea,44.63,68.88,81.76,19.48,52.39,6.64,72.95
chickpea,40.09,76.79,68.02,17.38,34.81,7.01,66.58
chickpea,36.92,74.61,74.87,20.46,43.5,7.27,85.7
chickpea,34.46,66.31,88.35,20.79,38.02,7.26,66.98
chickpea,51.3,78.24,82.32,20.31,43.95,7.27,75.55
chickpea,41.88,76.72,75.51,18.77,39.03,6.57,58.06
chickpea,45.84,86.09,91.4,16.75,48.62,7.57,74.52
chickpea,40.81,47.92,82.13,17.87,46.0,6.38,86.51
chickpea,48.2,60.17,70.9,15.69,43.67,6.77,61.39
chickpea,43.62,63.5,71.39,18.89,50.36,7.24,78.44
chickpea,44.95,56.39,80.26,20.29,42.65,7.17,70.63
chickpea,44.08,73.52,56.66,22.38,29.76,6.75,92.3
chickpea,37.46,53.34,71.25,22.05,35.39,7.45,79.34
chickpea,30.46,62.17,71.86,21.73,48.66,6.31,75.16
chickpea,33.09,80.94,69.2,23.21,44.83,6.54,71.87
chickpea,33.59,55.25,80.76,17.54,34.1,6.85,58.37
chickpea,33.98,58.91,73.03,24.0,45.28,7.1,58.68
chickpea,34.77,70.15,71.8,21.82,38.99,6.89,72.97
chickpea,41.31,61.6,77.83,19.53,41.33,7.19,82.86
chickpea,39.29,63.7,86.37,19.53,43.47,7.04,100.36
chickpea,29.28,75.7,64.85,20.43,52.88,7.2,82.05
chickpea,35.52,68.31,77.98,18.43,43.55,7.08,70.79
chickpea,33.55,54.4,83.13,21.09,46.16,7.39,81.05
chickpea,43.14,71.04,79.27,18.94,56.07,6.82,72.01
chickpea,43.47,70.52,68.76,22.25,44.53,6.56,94.27
chickpea,45.01,55.35,94.22,21.32,44.95,7.64,81.91
chickpea,39.78,61.4,84.65,20.95,45.07,6.68,81.56
chickpea,39.44,54.67,68.23,21.13,31.99,7.08,74.26
chickpea,50.47,63.07,85.28,19.21,45.57,7.29,74.45
chickpea,47.97,58.06,82.36,21.85,48.3,7.77,70.84
chickpea,28.97,58.06,85.28,21.0,45.51,6.55,89.2
chickpea,30.2,79.59,102.86,20.73,47.92,6.8,58.28
chickpea,35.18,57.07,68.42,23.44,46.36,7.15,76.29
chickpea,38.62,77.65,79.74,21.06,44.02,6.86,63.12
chickpea,24.18,65.38,80.45,17.43,44.83,7.02,54.13
chickpea,32.68,72.07,83.1,17.69,45.79,7.41,89.32
chickpea,39.24,63.32,74.97,20.94,45.98,7.25,81.58
chickpea,46.55,68.95,86.28,21.74,40.98,6.28,98.52
kidneybeans,26.28,51.28,17.14,21.54,63.6,5.6,126.01
kidneybeans,19.76,58.61,20.85,20.78,67.48,6.16,107.98
kidneybeans,27.45,62.93,20.25,20.22,66.08,6.11,113.33
kidneybeans,25.22,58.53,20.27,19.94,65.97,6.68,97.14
kidneybeans,27.11,73.55,20.39,24.68,63.11,5.93,93.02
kidneybeans,23.24,66.99,23.39,20.64,71.3,5.76,100.02
kidneybeans,38.52,68.15,17.12,18.61,60.29,6.17,99.53
kidneybeans,25.64,64.49,22.93,18.31,59.62,5.89,114.01
kidneybeans,26.66,58.52,22.71,18.51,62.39,5.42,124.52
kidneybeans,28.17,69.84,24.99,25.63,56.45,5.5,95.76
kidneybeans,20.75,56.38,18.8,17.57,66.68,5.82,112.22
kidneybeans,27.54,69.82,18.51,24.24,66.17,5.06,89.96
kidneybeans,16.3,65.14,19.51,19.06,75.05,6.02,115.89
kidneybeans,20.34,57.01,20.15,20.35,55.72,5.73,105.21
kidneybeans,23.92,58.49,17.84,19.65,65.45,6.04,121.21
kidneybeans,23.53,61.35,21.75,21.22,62.83,6.12,119.69
kidneybeans,31.46,79.23,16.53,20.03,65.06,5.76,95.26
kidneybeans,17.57,65.74,16.93,20.17,61.03,5.36,108.51
kidneybeans,25.75,69.63,28.74,20.55,67.43,5.37,85.7
kidneybeans,32.91,57.61,15.82,19.92,64.55,5.44,100.43
kidneybeans,31.15,58.55,14.43,21.89,67.46,5.55,81.27
kidneybeans,21.28,64.56,24.66,17.93,64.58,6.07,69.28
kidneybeans,30.17,55.54,21.33,20.49,70.42,6.02,69.34
kidneybeans,21.08,66.11,19.22,20.96,68.95,6.04,101.79
kidneybeans,15.77,61.36,21.67,17.82,68.16,6.16,106.9
kidneybeans,9.68,54.78,27.54,18.91,55.08,6.29,105.2
kidneybeans,30.52,67.22,21.83,20.73,68.49,6.71,119.57
kidneybeans,17.1,68.57,24.57,22.41,62.87,6.27,118.92
kidneybeans,37.86,59.0,17.97,19.39,62.55,5.44,63.56
kidneybeans,22.83,67.95,18.03,23.87,65.07,6.32,108.92
kidneybeans,29.13,67.23,25.48,20.11,67.48,5.95,100.68
kidneybeans,27.02,82.88,18.92,20.84,71.29,6.26,105.18
kidneybeans,13.08,69.13,11.12,22.94,65.85,6.2,91.47
kidneybeans,17.24,67.09,19.87,19.02,65.42,6.91,117.52
kidneybeans,30.25,71.75,25.92,19.62,54.73,5.72,117.18
kidneybeans,20.15,63.59,17.23,23.0,68.75,6.06,114.32
kidneybeans,24.81,66.58,15.26,15.63,65.75,5.93,123.14
kidneybeans,32.86,77.56,16.01,19.3,67.4,6.81,127.2
kidneybeans,30.6,61.9,16.47,21.58,59.5,5.7,103.28
kidneybeans,32.96,62.16,10.24,21.01,61.5,5.82,103.7
kidneybeans,23.63,71.32,13.87,18.97,68.42,5.55,80.87
kidneybeans,28.34,73.98,19.82,16.08,68.53,5.14,109.63
kidneybeans,20.56,55.72,18.23,19.63,61.78,6.04,98.31
kidneybeans,29.9,67.25,17.21,18.27,56.76,5.92,99.68
kidneybeans,13.14,60.71,16.4,23.15,56.49,5.22,121.65
kidneybeans,31.78,59.04,17.47,21.23,53.36,5.06,100.79
kidneybeans,32.75,61.51,20.4,22.27,75.53,5.57,104.75
kidneybeans,34.11,52.82,24.11,17.96,65.51,5.7,90.63
kidneybeans,20.08,67.21,23.98,19.74,65.35,6.03,90.43
kidneybeans,28.7,71.55,30.41,19.25,62.71,6.11,117.29
kidneybeans,22.32,61.77,22.16,18.34,62.95,5.84,119.94
kidneybeans,21.98,50.26,12.33,17.48,58.43,5.74,87.17
kidneybeans,21.49,58.81,18.24,22.65,68.31,5.81,98.08
kidneybeans,22.83,67.62,22.34,18.18,65.18,4.99,108.18
kidneybeans,28.81,62.76,27.27,18.24,66.09,5.79,103.5
kidneybeans,24.43,65.86,23.39,22.76,64.99,6.13,94.47
kidneybeans,28.83,58.9,24.36,24.42,64.39,4.92,96.78
kidneybeans,31.16,69.42,21.0,22.02,67.42,6.29,118.79
kidneybeans,32.61,67.87,23.62,19.39,61.99,6.48,108.24
kidneybeans,29.02,65.99,17.65,20.02,72.18,6.02,79.33
kidneybeans,23.92,79.26,19.14,16.4,74.47,6.07,103.95
kidneybeans,23.14,73.66,17.83,22.3,67.71,5.9,107.18
kidneybeans,24.13,73.37,16.54,16.76,68.07,6.05,112.2
kidneybeans,27.04,62.44,23.15,19.91,62.56,5.68,135.31
kidneybeans,16.33,69.0,13.28,19.78,62.83,4.97,110.84
kidneybeans,23.1,48.21,23.36,22.87,72.45,5.94,105.69
kidneybeans,31.64,78.46,24.53,18.12,66.01,5.98,77.86
kidneybeans,27.35,83.18,22.56,22.95,65.91,5.77,110.72
kidneybeans,20.92,57.29,25.07,22.74,60.04,6.19,103.7
kidneybeans,26.7,68.68,23.98,20.17,72.05,5.92,114.36
kidneybeans,20.83,82.27,21.88,21.43,56.96,5.47,123.57
kidneybeans,26.43,49.69,24.15,18.91,72.06,5.76,108.07
kidneybeans,30.89,57.82,16.03,19.61,69.14,5.27,79.98
kidneybeans,29.12,60.18,18.43,16.29,61.61,5.8,118.96
kidneybeans,21.14,78.26,17.26,18.63,72.69,5.88,96.72
kidneybeans,24.22,75.82,25.86,18.37,64.79,5.84,90.21
kidneybeans,24.72,65.04,24.56,22.41,63.35,5.71,114.96
kidneybeans,22.07,69.71,19.65,18.06,60.22,6.38,102.65
kidneybeans,33.2,60.89,21.16,24.79,59.71,5.04,124.3
kidneybeans,20.87,64.83,17.66,20.54,60.25,5.73,111.75
kidneybeans,19.96,59.4,18.61,17.14,62.89,5.85,99.01
kidneybeans,23.64,64.84,17.38,21.38,72.18,5.61,112.28
kidneybeans,23.8,67.92,26.26,21.02,56.13,5.98,123.49
kidneybeans,23.89,72.97,17.24,17.03,65.71,5.1,101.4
kidneybeans,31.43,49.72,14.88,17.94,64.68,5.65,125.99
kidneybeans,29.77,68.96,20.58,20.79,60.69,6.14,88.32
kidneybeans,29.18,74.49,20.84,19.65,67.0,4.66,109.53
kidneybeans,24.43,64.59,22.83,19.85,59.3,5.74,106.01
kidneybeans,25.57,66.3,24.16,17.83,65.88,6.32,78.98
kidneybeans,25.9,60.32,18.52,18.19,64.15,6.54,86.03
kidneybeans,19.15,54.58,26.91,19.08,64.87,5.64,90.83
kidneybeans,23.82,84.67,25.57,18.29,68.24,5.47,78.35
kidneybeans,30.1,74.28,24.18,19.06,64.17,6.1,110.87
kidneybeans,23.03,52.05,20.46,22.16,59.01,6.06,109.97
kidneybeans,28.75,71.98,17.22,16.77,62.33,6.16,96.87
kidneybeans,21.53,50.43,27.01,21.65,68.85,6.19,113.65
kidneybeans,23.78,63.69,18.29,25.27,67.78,5.61,111.98
kidneybeans,19.95,77.04,17.36,21.0,70.33,5.95,106.42
kidneybeans,25.05,64.55,17.69,19.1,72.4,5.76,93.21
kidneybeans,22.42,73.8,22.7,21.12,63.71,6.03,95.35
pigeonpeas,28.44,75.76,23.5,22.04,50.72,6.04,184.52
pigeonpeas,18.51,70.23,14.5,22.73,53.18,5.83,139.32
pigeonpeas,30.04,63.72,14.15,25.56,58.76,6.34,119.19
pigeonpeas,31.79,73.41,15.88,24.02,54.42,6.74,188.49
pigeonpeas,20.01,87.95,16.34,25.96,59.85,5.6,159.87
pigeonpeas,29.35,72.43,20.92,26.39,55.38,5.93,171.92
pigeonpeas,33.48,73.85,17.34,21.91,52.16,5.75,165.72
pigeonpeas,35.86,66.76,25.72,26.74,56.22,5.67,181.51
pigeonpeas,29.63,69.01,18.64,22.22,47.66,6.25,134.33
pigeonpeas,48.36,59.31,14.97,25.02,62.65,6.03,161.44
pigeonpeas,18.94,62.58,15.71,20.21,55.58,5.1,123.56
pigeonpeas,26.78,61.35,21.59,24.61,59.47,6.3,172.82
pigeonpeas,29.99,70.43,22.05,24.28,53.01,5.87,133.65
pigeonpeas,32.53,67.25,17.35,22.68,48.95,6.39,151.57
pigeonpeas,24.82,74.47,17.76,21.19,60.11,5.79,141.82
pigeonpeas,30.25,77.14,20.08,21.6,57.72,5.81,187.76
pigeonpeas,29.99,50.12,21.43,27.89,62.88,6.73,129.6
pigeonpeas,35.47,62.22,20.9,21.45,51.78,5.73,167.97
pigeonpeas,34.8,70.21,14.6,23.38,51.27,6.35,173.56
pigeonpeas,36.34,61.96,9.04,20.47,62.11,5.84,134.99
pigeonpeas,39.86,78.12,20.1,23.41,54.34,6.09,182.0
pigeonpeas,32.53,73.81,24.68,21.66,58.77,5.88,99.68
pigeonpeas,17.23,59.86,22.12,24.23,55.92,6.78,124.62
pigeonpeas,29.84,70.44,17.05,24.06,47.0,6.56,136.37
pigeonpeas,42.19,67.74,24.11,23.89,54.85,5.77,152.38
pigeonpeas,31.91,61.73,19.5,22.78,66.5,5.96,180.9
